# Direct brain oscillations (no synthetic overlay)
t,motor,sensory,thalamus,cerebellum,parietal,pfc,limbic,hippocampus,insula,basal_ganglia,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10
215,1.002192735671997,-0.05314389988780022,-0.0049406858161091805,0.5,-0.07685448229312897,14.413665771484375,-0.23790201544761658,0.0012048709904775023,0.0010000000474974513,-0.0072311656549572945,50.026695251464844,37.3160285949707,43.924922943115234,8.35211181640625,-10.288836479187012,27.15802764892578,-35.098358154296875,-48.39592742919922,-23.02811050415039,-49.294708251953125
216,1.3689191341400146,-0.05480393022298813,-0.004842718131840229,0.5,1.166081190109253,12.78342342376709,-0.8319157361984253,0.001189480535686016,0.0010000000474974513,-0.0071571157313883305,49.18065643310547,31.4542293548584,36.58763122558594,7.981132507324219,-4.827569484710693,26.354585647583008,-31.398292541503906,-44.320308685302734,-24.67470932006836,-44.683631896972656
217,1.9817986488342285,-0.05297819897532463,-0.0047466931864619255,0.5,-0.182870551943779,13.333111763000488,0.4161154627799988,0.0012190918205305934,0.0010000000474974513,-0.007115351501852274,44.30656051635742,33.33043670654297,36.93034744262695,15.521795272827148,-12.368311882019043,25.35014533996582,-35.660770416259766,-45.550811767578125,-18.544282913208008,-44.70029067993164
218,0.9978744983673096,-0.053128015249967575,-0.004652572795748711,0.5,-0.08989410847425461,16.151508331298828,0.7711513638496399,0.0012256568297743797,0.0010000000474974513,-0.006808664184063673,49.44867706298828,41.88555145263672,40.97806167602539,4.646032333374023,-6.319679260253906,27.172548294067383,-35.68751525878906,-47.29025650024414,-27.29901885986328,-51.93826675415039
219,1.3760216236114502,-0.05479566380381584,-0.004560318309813738,0.5,1.1579344272613525,17.511484146118164,-0.563386082649231,0.0011967369355261326,0.0010000000474974513,-0.006740960292518139,61.067352294921875,43.67558670043945,42.916622161865234,5.796367645263672,-13.171351432800293,30.035463333129883,-42.1167106628418,-56.5335807800293,-23.565664291381836,-61.064483642578125
220,1.9789760112762451,-0.05297686159610748,-0.0044698938727378845,0.5,-0.1866939216852188,17.47600746154785,-0.6360348463058472,0.001194822951219976,0.0010000000474974513,-0.006700026802718639,64.59417724609375,43.174530029296875,49.32331085205078,6.604475021362305,-13.80640697479248,31.514543533325195,-41.980491638183594,-57.33009719848633,-18.93207550048828,-60.55111312866211
221,0.9936273694038391,-0.053112149238586426,-0.004381261765956879,0.5,-0.10280726850032806,15.813106536865234,0.7106080651283264,0.001224593841470778,0.0010000000474974513,-0.006410860922187567,52.089813232421875,42.097381591796875,47.23868942260742,6.533627986907959,-8.712846755981445,28.232486724853516,-38.90739059448242,-50.024383544921875,-19.43813705444336,-55.923667907714844
222,1.3831373453140259,-0.05478735268115997,-0.004294387996196747,0.5,1.149867057800293,14.85128116607666,0.5041243433952332,0.001220793928951025,0.0010000000474974513,-0.006349003408104181,48.329444885253906,39.81867599487305,43.724674224853516,13.330567359924316,-11.107138633728027,30.265838623046875,-39.5688591003418,-50.74924087524414,-18.097232818603516,-57.23793411254883
223,1.9760688543319702,-0.05297555401921272,-0.004209236707538366,0.5,-0.19038696587085724,12.8496675491333,-0.7920210361480713,0.0011905902065336704,0.0010000000474974513,-0.006308934651315212,40.95068359375,37.14690017700195,41.81968688964844,9.299690246582031,-9.473065376281738,27.090723037719727,-33.00540542602539,-43.734466552734375,-19.156803131103516,-46.003196716308594
224,0.989452064037323,-0.05309629440307617,-0.004125773906707764,0.5,-0.11558924615383148,15.332717895507812,-0.3320278227329254,0.001202592276968062,0.0010000000474974513,-0.006036314647644758,47.11473846435547,40.658180236816406,39.5333251953125,7.436740875244141,-12.187599182128906,25.45463752746582,-33.82952880859375,-44.13969802856445,-17.98432731628418,-46.064476013183594
225,1.3902653455734253,-0.05477900430560112,-0.00404396653175354,0.5,1.1418806314468384,18.902265548706055,0.8863793611526489,0.0012276162160560489,0.0010000000474974513,-0.005979839246720076,51.35469055175781,48.178009033203125,40.79985046386719,9.352635383605957,-9.287657737731934,36.08348083496094,-44.51410675048828,-59.52949523925781,-25.00387191772461,-61.28687286376953
226,1.9730775356292725,-0.05297425761818886,-0.003963781055063009,0.5,-0.19395023584365845,15.768424987792969,0.15481790900230408,0.0012137448647990823,0.0010000000474974513,-0.005940662231296301,55.66249084472656,45.085697174072266,43.884212493896484,14.50958251953125,-10.661373138427734,35.07804489135742,-35.90727996826172,-50.89535903930664,-21.569316864013672,-53.739131927490234
227,0.9853492379188538,-0.05308046191930771,-0.0038851855788379908,0.5,-0.1282377541065216,13.77486515045166,-0.888857364654541,0.0011878771474584937,0.0010000000474974513,-0.005683662835508585,48.02365493774414,33.14159393310547,41.27362060546875,12.441164016723633,-5.743908405303955,27.19611358642578,-39.36112976074219,-45.5394287109375,-26.727153778076172,-47.86498260498047
228,1.397404432296753,-0.05477061867713928,-0.003808148903772235,0.5,1.133979082107544,16.461694717407227,0.03195298835635185,0.0012110776733607054,0.0010000000474974513,-0.005632141139358282,52.00263977050781,37.20003128051758,38.374305725097656,13.132648468017578,-14.575852394104004,36.59611511230469,-39.48451614379883,-54.746559143066406,-16.827510833740234,-56.31557083129883
229,1.9700030088424683,-0.05297298729419708,-0.0037326395977288485,0.5,-0.1973787248134613,18.97454071044922,0.9122481346130371,0.0012280447408556938,0.0010000000474974513,-0.005593877285718918,58.562557220458984,49.15730285644531,42.65994644165039,12.66988468170166,-11.453011512756348,31.921037673950195,-45.563087463378906,-61.672523498535156,-27.06000518798828,-65.71978759765625
230,0.9813194274902344,-0.05306464806199074,-0.0036586280912160873,0.5,-0.14074766635894775,15.288031578063965,-0.21601255238056183,0.001205392531119287,0.0010000000474974513,-0.005351625382900238,62.12584686279297,39.90150833129883,40.09550094604492,8.005186080932617,-12.123570442199707,32.41534423828125,-37.66435623168945,-48.00944900512695,-25.36825942993164,-52.811283111572266
231,1.4045535326004028,-0.05476218834519386,-0.0035860841162502766,0.5,1.1261670589447021,13.896345138549805,-0.8395968079566956,0.0011892655165866017,0.0010000000474974513,-0.005304662045091391,49.48011016845703,37.28759765625,37.46715545654297,5.717547416687012,-9.743943214416504,29.12485694885254,-42.275108337402344,-45.60822296142578,-17.10025405883789,-48.07387161254883
232,1.9668453931808472,-0.0529717281460762,-0.003514978103339672,0.5,-0.20066839456558228,14.012551307678223,0.39539220929145813,0.00121868378482759,0.0010000000474974513,-0.005267329514026642,51.201866149902344,39.98160171508789,31.59649658203125,9.365419387817383,-9.829584121704102,28.413188934326172,-31.35686683654785,-45.26383972167969,-20.195560455322266,-48.373233795166016
233,0.9773632884025574,-0.053048860281705856,-0.00344528304412961,0.5,-0.1531151682138443,16.399181365966797,0.7836193442344666,0.0012258728966116905,0.0010000000474974513,-0.005038997158408165,56.45685577392578,43.909812927246094,38.0301513671875,14.219162940979004,-10.289775848388672,22.477474212646484,-35.380279541015625,-46.89423370361328,-24.478843688964844,-52.77908706665039
